x,y,value
V080,G Schofield,0
V080,H Lam,0
V080,M Wepner,0
V080,C Perkins,0
V080,R Curatolo,0
V080,W L Ho,0
V080,M F Poon,0
V080,W M Lai,0
V080,O Peslier,0
V080,C Murray,0
V080,A Sanna,0
S298,O Doleuze,0
S298,N Rawiller,0
S298,O Bosson,0
S298,H N Wong,0
S298,M Chadwick,0
S298,T H So,0
S298,Z Purton,0
S298,K C Ng,0
S298,S Clipperton,0
S298,K K Chiong,0
S298,K C Leung,0
S298,N Callan,0.333333333
S298,K Teetan,0.666666667
S298,H T Mo,0
S298,B Prebble,0
S298,J Moreira,1
S298,D Whyte,0
S298,M L Yeung,0
S298,C Y Ho,0
S298,H W Lai,0
S298,Y T Cheng,0
S298,C Schofield,0
S298,S de Sousa,0
S298,U Rispoli,0
S298,C Williams,0
S298,L Corrales,0
S298,O Murphy,0
S298,G Mosse,0
S298,T Berry,0
S298,H Bowman,0
S298,C Soumillon,0
S298,D Lane,0
S298,M Barzalona,0
S298,F Geroux,0
S298,P Smullen,0
S298,G Lerena,0
S298,M Demuro,0
S298,R Moore,0
S298,K Tosaki,0
S298,N Juglall,0
S298,T Clark,0
S298,A Badel,0
S298,M Guyon,0
S298,Y Iwata,0
S298,Y Take,0
S298,R Myers,0
S298,S Pasquier,0
S298,B Vorster,0
S298,B Melham,0
S298,G Lee,0
S298,Y Kawada,0
S298,D O'Brien,0
S298,P-C Boudot,0
S298,G Schofield,0
S298,H Lam,0
S298,M Wepner,0
S298,C Perkins,0
S298,R Curatolo,0
S298,W L Ho,0
S298,M F Poon,0
S298,W M Lai,0
S298,O Peslier,0
S298,C Murray,0
S298,A Sanna,0
T219,O Doleuze,0
T219,N Rawiller,0.8
T219,O Bosson,0
T219,H N Wong,0
T219,M Chadwick,0
T219,T H So,0
T219,Z Purton,0
T219,K C Ng,0
T219,S Clipperton,0
T219,K K Chiong,0
T219,K C Leung,0
T219,N Callan,0
T219,K Teetan,0
T219,H T Mo,0
T219,B Prebble,0
T219,J Moreira,0
T219,D Whyte,0
T219,M L Yeung,0
T219,C Y Ho,0
T219,H W Lai,0
T219,Y T Cheng,0
T219,C Schofield,0
T219,S de Sousa,0
T219,U Rispoli,0
T219,C Williams,0
T219,L Corrales,0
T219,O Murphy,0
T219,G Mosse,0
T219,T Berry,0
T219,H Bowman,0
T219,C Soumillon,0
T219,D Lane,0
T219,M Barzalona,0
T219,F Geroux,0
T219,P Smullen,0
T219,G Lerena,0
T219,M Demuro,0
T219,R Moore,0
T219,K Tosaki,0
T219,N Juglall,0
T219,T Clark,0
T219,A Badel,0
T219,M Guyon,0
T219,Y Iwata,0
T219,Y Take,0
T219,R Myers,0
T219,S Pasquier,0
T219,B Vorster,0
T219,B Melham,0
T219,G Lee,0
T219,Y Kawada,0
T219,D O'Brien,0
T219,P-C Boudot,0
T219,G Schofield,0
T219,H Lam,0
T219,M Wepner,0
T219,C Perkins,0
T219,R Curatolo,0
T219,W L Ho,0
T219,M F Poon,0
T219,W M Lai,0
T219,O Peslier,0
T219,C Murray,0
T219,A Sanna,0
V170,O Doleuze,0
V170,N Rawiller,0
V170,O Bosson,0
V170,H N Wong,0
V170,M Chadwick,0.25
V170,T H So,0
V170,Z Purton,0
V170,K C Ng,0
V170,S Clipperton,0
V170,K K Chiong,0
V170,K C Leung,0
V170,N Callan,1
V170,K Teetan,0
V170,H T Mo,0
V170,B Prebble,0
V170,J Moreira,0
V170,D Whyte,0
V170,M L Yeung,0
V170,C Y Ho,0
V170,H W Lai,0
V170,Y T Cheng,0
V170,C Schofield,0
V170,S de Sousa,1
V170,U Rispoli,0
V170,C Williams,0
V170,L Corrales,0
V170,O Murphy,0
V170,G Mosse,0
V170,T Berry,0
V170,H Bowman,0
V170,C Soumillon,0
V170,D Lane,0
V170,M Barzalona,0
V170,F Geroux,0
V170,P Smullen,0
V170,G Lerena,0
V170,M Demuro,0
V170,R Moore,0
V170,K Tosaki,0
V170,N Juglall,0
V170,T Clark,0
